ID,FN,LN,GENDER,BIRTHDATE,PHONE_NUMBER,EMAIL
7389,Daniel,Uzaga,M,18-JAN-52,+(506) 7318-3640,daniel.uzaga@yahoo.com
6460,Oscar,Rojas,M,07-MAY-72,+(506) 8155-5349,oscar.rojas@gmail.com
5967,Isabel,Corrales,F,03-SEP-87,+(506) 7398-3121,isabel.corrales@yahoo.com
6226,Oscar,Gonzalez,M,23-AUG-50,+(506) 8455-7308,oscar.gonzalez@gmail.com
6753,Roberto,Soto,M,21-NOV-87,+(506) 7992-3611,roberto.soto@yahoo.com
5588,Liliana,Chamorro,F,12-FEB-78,+(506) 6150-0107,liliana.chamorro@outlook.com
5583,Roberto,Chamorro,M,03-DEC-78,+(506) 7355-8101,roberto.chamorro@yahoo.com
7477,Yolanda,Umaña,F,09-JAN-74,+(506) 8038-2385,yolanda.umaña@gmail.com
6982,Isabel,Ulate,F,03-FEB-83,+(506) 8617-2006,isabel.ulate@gmail.com
7633,Yolanda,Morales,F,24-DEC-82,+(506) 8781-4967,yolanda.morales@gmail.com
7852,Marcela,Delgado,F,22-AUG-62,+(506) 8459-0966,marcela.delgado@gmail.com
5434,Marcela,Chaves,F,30-APR-45,+(506) 8172-0581,marcela.chaves@gmail.com
6057,Marcela,Barquero,F,15-MAR-48,+(506) 7179-4988,marcela.barquero@yahoo.com
6223,Guillermo,Gonzalez,M,12-SEP-03,+(506) 8518-2154,guillermo.gonzalez@gmail.com
5880,Mariana,Villalobos,F,05-FEB-75,+(506) 7913-6109,mariana.villalobos@yahoo.com
7605,Isabel,Morales,F,06-JAN-68,+(506) 7042-7305,isabel.morales@yahoo.com
6005,Alberto,Barquero,M,05-JUL-79,+(506) 6935-1346,alberto.barquero@outlook.com
5706,Alejandro,Cespedes,M,20-MAY-01,+(506) 7545-9993,alejandro.cespedes@yahoo.com
7763,Isabel,Acuña,F,04-FEB-97,+(506) 6380-3813,isabel.acuña@outlook.com
7860,Guillermo,Delgado,M,11-MAY-78,+(506) 7645-1033,guillermo.delgado@yahoo.com
6577,Julieta,Fonseca,F,31-MAY-45,+(506) 8455-6130,julieta.fonseca@gmail.com
5802,Mariana,Barrantes,F,24-NOV-78,+(506) 7837-9300,mariana.barrantes@yahoo.com
6576,Julieta,Fonseca,F,09-OCT-71,+(506) 7950-3847,julieta.fonseca@yahoo.com
6103,Adrian,Madrigal,M,30-NOV-73,+(506) 8858-1669,adrian.madrigal@gmail.com
5847,Alberto,Villalobos,M,10-JAN-65,+(506) 7164-2499,alberto.villalobos@yahoo.com
6197,Enrique,Gonzalez,M,14-MAR-51,+(506) 6238-7117,enrique.gonzalez@outlook.com
6404,Jose,Rojas,M,22-MAR-70,+(506) 6303-2411,jose.rojas@outlook.com
6413,Sebastian,Rojas,M,20-APR-02,+(506) 6609-7297,sebastian.rojas@outlook.com
6238,Alberto,Perez,M,18-AUG-78,+(506) 8070-1489,alberto.perez@gmail.com
6378,Guillermo,Mejias,M,30-JUN-51,+(506) 7985-0995,guillermo.mejias@yahoo.com
6333,Sebastian,Mejias,M,22-APR-76,+(506) 7209-6910,sebastian.mejias@yahoo.com
6343,Julieta,Mejias,F,09-NOV-96,+(506) 8904-4150,julieta.mejias@gmail.com
5419,Lorena,Chaves,F,28-OCT-41,+(506) 8907-2983,lorena.chaves@gmail.com
7709,Oscar,Salazar,M,24-JUL-44,+(506) 6615-6802,oscar.salazar@outlook.com
6174,Alejandro,Gonzalez,M,11-APR-69,+(506) 7853-1601,alejandro.gonzalez@yahoo.com
7383,Marcela,Uzaga,F,02-FEB-59,+(506) 7438-8488,marcela.uzaga@yahoo.com
6735,Julia,Soto,F,04-MAY-56,+(506) 7995-3147,julia.soto@yahoo.com
7729,Jose,Acuña,M,05-AUG-97,+(506) 8710-9864,jose.acuña@gmail.com
7590,Julieta,Morales,F,16-MAR-04,+(506) 7322-1387,julieta.morales@yahoo.com
6532,Daniel,Orozco,M,02-MAY-50,+(506) 8994-4909,daniel.orozco@gmail.com
6465,Marta,Rojas,F,06-APR-47,+(506) 7123-9922,marta.rojas@yahoo.com
6581,Julia,Fonseca,F,19-FEB-47,+(506) 6859-5330,julia.fonseca@outlook.com
6240,Maria,Perez,F,05-AUG-97,+(506) 7537-6170,maria.perez@yahoo.com
7312,Daniel,Gondres,M,10-JUN-72,+(506) 8324-0115,daniel.gondres@gmail.com
5781,Ricardo,Barrantes,M,16-JUL-90,+(506) 7657-4984,ricardo.barrantes@yahoo.com
6283,Cristina,Perez,F,14-MAR-67,+(506) 8611-8874,cristina.perez@gmail.com
7807,Jose,Delgado,M,27-DEC-52,+(506) 8337-0196,jose.delgado@gmail.com
6059,Marcela,Barquero,F,24-JAN-03,+(506) 6213-4458,marcela.barquero@outlook.com
6979,Lorena,Ulate,F,09-AUG-95,+(506) 8598-7407,lorena.ulate@gmail.com
5497,Lorena,Sharma,F,16-FEB-87,+(506) 8293-5547,lorena.sharma@gmail.com
7005,Oscar,Ulate,M,18-AUG-94,+(506) 7159-4468,oscar.ulate@yahoo.com
5898,Liliana,Villalobos,F,05-AUG-92,+(506) 7579-8405,liliana.villalobos@yahoo.com
7564,Alberto,Morales,M,15-APR-04,+(506) 8339-5119,alberto.morales@gmail.com
5505,Roberto,Sharma,M,05-DEC-79,+(506) 7631-3946,roberto.sharma@yahoo.com
7642,Alberto,Salazar,M,15-JUN-65,+(506) 8648-7066,alberto.salazar@gmail.com
6723,Sebastian,Soto,M,25-JAN-41,+(506) 7278-0197,sebastian.soto@yahoo.com
6662,Mariana,Rodriguez,F,08-MAR-52,+(506) 6647-6468,mariana.rodriguez@outlook.com
6128,Cristina,Madrigal,F,12-SEP-94,+(506) 6371-0808,cristina.madrigal@outlook.com
5515,Alejandro,Sharma,M,12-JAN-52,+(506) 8655-9245,alejandro.sharma@gmail.com
5589,Marcela,Chamorro,F,31-MAY-64,+(506) 7206-3525,marcela.chamorro@yahoo.com
5729,Enrique,Cespedes,M,19-SEP-85,+(506) 6977-0122,enrique.cespedes@outlook.com
7410,Maria,Umaña,F,04-MAY-92,+(506) 7261-5875,maria.umaña@yahoo.com
6289,Liliana,Perez,F,05-DEC-87,+(506) 8649-1417,liliana.perez@gmail.com
7105,Jose,Chen,M,28-MAY-59,+(506) 8526-3019,jose.chen@gmail.com
6064,Daniel,Barquero,M,10-MAR-38,+(506) 8503-7192,daniel.barquero@gmail.com
6638,Jose,Rodriguez,M,26-APR-75,+(506) 6825-6375,jose.rodriguez@outlook.com
6193,Mariana,Gonzalez,F,16-JAN-48,+(506) 8125-5729,mariana.gonzalez@gmail.com
5776,Ana,Barrantes,F,11-NOV-05,+(506) 8142-8433,ana.barrantes@gmail.com
6421,Julieta,Rojas,F,26-AUG-92,+(506) 8244-7969,julieta.rojas@gmail.com
6670,Isabel,Rodriguez,F,01-MAY-76,+(506) 8125-6804,isabel.rodriguez@gmail.com
6807,Adriana,Rubio,F,26-JUN-60,+(506) 7252-2571,adriana.rubio@yahoo.com
7028,Jose,Caballero,M,03-SEP-93,+(506) 6907-5864,jose.caballero@outlook.com
5792,Adrian,Barrantes,M,08-MAY-77,+(506) 6230-5137,adrian.barrantes@outlook.com
6788,Maria,Rubio,F,15-JUN-47,+(506) 6767-9639,maria.rubio@outlook.com
6652,Adriana,Rodriguez,F,30-SEP-94,+(506) 8044-6842,adriana.rodriguez@gmail.com
7529,Isabel,Frias,F,08-MAY-47,+(506) 6688-9071,isabel.frias@outlook.com
6694,Oscar,Rodriguez,M,01-JUL-98,+(506) 8789-7441,oscar.rodriguez@gmail.com
7088,Yolanda,Caballero,F,14-MAY-51,+(506) 6810-5283,yolanda.caballero@outlook.com
7469,Daniel,Umaña,M,17-SEP-88,+(506) 6260-5788,daniel.umaña@outlook.com
5433,Marcela,Chaves,F,12-AUG-36,+(506) 7847-4876,marcela.chaves@yahoo.com
5585,Roberto,Chamorro,M,03-OCT-03,+(506) 6103-5580,roberto.chamorro@outlook.com
6865,Maria,Escobar,F,08-JAN-60,+(506) 8661-2089,maria.escobar@gmail.com
7704,Guillermo,Salazar,M,14-MAR-49,+(506) 7688-4947,guillermo.salazar@yahoo.com
6182,Adrian,Gonzalez,M,03-JUL-39,+(506) 6836-6678,adrian.gonzalez@outlook.com
7515,Julia,Frias,F,10-DEC-47,+(506) 7404-1131,julia.frias@yahoo.com
7318,Oscar,Gondres,M,29-NOV-63,+(506) 8985-3658,oscar.gondres@gmail.com
6883,Adrian,Escobar,M,30-MAY-62,+(506) 8500-9017,adrian.escobar@gmail.com
5571,Enrique,Chamorro,M,18-NOV-51,+(506) 7704-3199,enrique.chamorro@yahoo.com
7620,Alejandro,Morales,M,25-OCT-46,+(506) 7411-1476,alejandro.morales@yahoo.com
7592,Julieta,Morales,F,03-SEP-98,+(506) 6838-7813,julieta.morales@outlook.com
6793,Jose,Rubio,M,28-JUL-45,+(506) 8976-9504,jose.rubio@gmail.com
7171,Manuel,Chen,M,22-DEC-96,+(506) 8869-1313,manuel.chen@gmail.com
6184,Adriana,Gonzalez,F,28-JAN-38,+(506) 8756-9272,adriana.gonzalez@gmail.com
6035,Julia,Barquero,F,20-MAY-38,+(506) 6087-6705,julia.barquero@outlook.com
6007,Maria,Barquero,F,07-MAR-88,+(506) 8409-9825,maria.barquero@gmail.com
6171,Ricardo,Gonzalez,M,04-SEP-80,+(506) 7610-1642,ricardo.gonzalez@yahoo.com
7197,Adriana,Li,F,04-JUN-05,+(506) 7179-7013,adriana.li@yahoo.com
6481,Jose,Orozco,M,05-SEP-51,+(506) 8274-5017,jose.orozco@gmail.com
6783,Alberto,Rubio,M,25-MAY-83,+(506) 7886-3201,alberto.rubio@yahoo.com
7245,Marta,Li,F,25-FEB-94,+(506) 7361-3448,marta.li@yahoo.com
5608,Marta,Chamorro,F,29-MAY-47,+(506) 8058-3734,marta.chamorro@gmail.com
6635,Ana,Rodriguez,F,09-MAR-92,+(506) 6619-4294,ana.rodriguez@outlook.com
6243,Ana,Perez,F,29-SEP-49,+(506) 7485-4286,ana.perez@yahoo.com
6697,Yolanda,Rodriguez,F,30-JAN-88,+(506) 8280-5423,yolanda.rodriguez@gmail.com
7250,Manuel,Li,M,04-APR-38,+(506) 6878-9935,manuel.li@outlook.com
7842,Cristina,Delgado,F,21-SEP-49,+(506) 7446-9723,cristina.delgado@yahoo.com
6493,Adrian,Orozco,M,16-JUN-98,+(506) 8318-3721,adrian.orozco@gmail.com
6267,Julia,Perez,F,07-DEC-00,+(506) 7481-0578,julia.perez@yahoo.com
7624,Daniel,Morales,M,23-JAN-63,+(506) 8346-5830,daniel.morales@gmail.com
6070,Oscar,Barquero,M,14-FEB-88,+(506) 8862-8782,oscar.barquero@gmail.com
6598,Roberto,Fonseca,M,09-JUL-44,+(506) 8862-8930,roberto.fonseca@gmail.com
6693,Oscar,Rodriguez,M,07-FEB-98,+(506) 7823-2063,oscar.rodriguez@yahoo.com
6730,Adriana,Soto,F,07-OCT-82,+(506) 8065-1024,adriana.soto@gmail.com
5919,Marta,Villalobos,F,17-DEC-65,+(506) 7063-0864,marta.villalobos@yahoo.com
7335,Ana,Uzaga,F,07-MAR-67,+(506) 7827-9671,ana.uzaga@yahoo.com
6704,Manuel,Rodriguez,M,15-DEC-42,+(506) 6106-0461,manuel.rodriguez@outlook.com
7408,Alberto,Umaña,M,03-DEC-51,+(506) 8457-4381,alberto.umaña@gmail.com
7355,Adriana,Uzaga,F,21-SEP-74,+(506) 6185-9899,adriana.uzaga@outlook.com
7176,Maria,Li,F,19-MAY-85,+(506) 7377-1036,maria.li@yahoo.com
6695,Oscar,Rodriguez,M,10-JUN-64,+(506) 6810-1277,oscar.rodriguez@outlook.com
6915,Marcela,Escobar,F,23-DEC-74,+(506) 7376-7137,marcela.escobar@yahoo.com
6072,Yolanda,Barquero,F,27-SEP-38,+(506) 7834-8380,yolanda.barquero@yahoo.com
6502,Julia,Orozco,F,22-MAY-71,+(506) 8571-8668,julia.orozco@gmail.com
7761,Isabel,Acuña,F,19-AUG-62,+(506) 7087-4642,isabel.acuña@yahoo.com
7601,Enrique,Morales,M,22-FEB-67,+(506) 6834-4173,enrique.morales@outlook.com
7096,Alberto,Chen,M,04-JUN-66,+(506) 8006-3273,alberto.chen@gmail.com
6560,Jose,Fonseca,M,15-SEP-76,+(506) 6677-0549,jose.fonseca@outlook.com
6539,Oscar,Orozco,M,24-NOV-52,+(506) 6169-8741,oscar.orozco@outlook.com
5912,Guillermo,Villalobos,M,14-NOV-65,+(506) 6633-9317,guillermo.villalobos@outlook.com
6876,Alejandro,Escobar,M,28-JUN-66,+(506) 7224-8715,alejandro.escobar@yahoo.com
6268,Julia,Perez,F,26-MAR-81,+(506) 8639-8488,julia.perez@gmail.com
7017,Alberto,Caballero,M,24-JAN-53,+(506) 7124-3646,alberto.caballero@yahoo.com
7476,Yolanda,Umaña,F,10-NOV-66,+(506) 7592-8428,yolanda.umaña@yahoo.com
7049,Julia,Caballero,F,01-JUN-80,+(506) 6168-4512,julia.caballero@outlook.com
6090,Jose,Madrigal,M,28-DEC-50,+(506) 7018-0878,jose.madrigal@yahoo.com
7673,Julia,Salazar,F,27-APR-81,+(506) 6667-5383,julia.salazar@outlook.com
6345,Julia,Mejias,F,28-OCT-03,+(506) 7615-1124,julia.mejias@yahoo.com
6913,Liliana,Escobar,F,14-JUN-72,+(506) 8187-4983,liliana.escobar@gmail.com
7066,Roberto,Caballero,M,13-SEP-86,+(506) 8088-8917,roberto.caballero@gmail.com
7742,Adrian,Acuña,M,19-JUN-90,+(506) 6158-4783,adrian.acuña@outlook.com
7170,Manuel,Chen,M,13-FEB-83,+(506) 7988-6218,manuel.chen@yahoo.com
7287,Enrique,Gondres,M,25-JUN-44,+(506) 7856-9586,enrique.gondres@yahoo.com
5713,Adrian,Cespedes,M,20-DEC-51,+(506) 8942-4989,adrian.cespedes@gmail.com
5537,Alberto,Chamorro,M,13-JUN-53,+(506) 6042-6512,alberto.chamorro@outlook.com
6646,Sebastian,Rodriguez,M,16-JUL-82,+(506) 8430-6507,sebastian.rodriguez@gmail.com
6141,Daniel,Madrigal,M,08-MAR-42,+(506) 7974-3907,daniel.madrigal@yahoo.com
5809,Lorena,Barrantes,F,22-AUG-05,+(506) 8265-1335,lorena.barrantes@gmail.com
6725,Sebastian,Soto,M,17-APR-90,+(506) 6859-2154,sebastian.soto@outlook.com
5541,Ana,Chamorro,F,03-AUG-46,+(506) 7652-6169,ana.chamorro@yahoo.com
7392,Guillermo,Uzaga,M,12-FEB-05,+(506) 7618-5238,guillermo.uzaga@yahoo.com
5994,Yolanda,Corrales,F,30-JAN-02,+(506) 7746-4734,yolanda.corrales@yahoo.com
7730,Jose,Acuña,M,19-SEP-37,+(506) 6613-5484,jose.acuña@outlook.com
6872,Jose,Escobar,M,26-SEP-68,+(506) 6988-7086,jose.escobar@outlook.com
5987,Daniel,Corrales,M,28-JUL-50,+(506) 6560-4203,daniel.corrales@outlook.com
7201,Julieta,Li,F,28-OCT-36,+(506) 8810-0171,julieta.li@gmail.com
6357,Isabel,Mejias,F,11-AUG-80,+(506) 7221-8324,isabel.mejias@yahoo.com
6525,Marcela,Orozco,F,31-DEC-54,+(506) 7433-5135,marcela.orozco@yahoo.com
5723,Julia,Cespedes,F,08-FEB-74,+(506) 6165-2151,julia.cespedes@outlook.com
7795,Manuel,Acuña,M,19-DEC-72,+(506) 8503-9588,manuel.acuña@gmail.com
7418,Jose,Umaña,M,04-OCT-93,+(506) 6011-4259,jose.umaña@outlook.com
7536,Liliana,Frias,F,22-MAR-47,+(506) 7393-7857,liliana.frias@yahoo.com
5563,Julieta,Chamorro,F,07-SEP-40,+(506) 8353-8393,julieta.chamorro@gmail.com
6291,Marcela,Perez,F,03-FEB-05,+(506) 7932-0010,marcela.perez@yahoo.com
6592,Isabel,Fonseca,F,17-NOV-00,+(506) 8395-4358,isabel.fonseca@gmail.com
6328,Ricardo,Mejias,M,13-MAR-53,+(506) 8373-3964,ricardo.mejias@gmail.com
7639,Manuel,Morales,M,19-JUN-36,+(506) 8538-3061,manuel.morales@gmail.com
7588,Adriana,Morales,F,14-JUN-66,+(506) 8708-3305,adriana.morales@gmail.com
7022,Maria,Caballero,F,17-NOV-55,+(506) 6000-9138,maria.caballero@outlook.com
6838,Marcela,Rubio,F,17-JUL-83,+(506) 8067-2987,marcela.rubio@gmail.com
6511,Lorena,Orozco,F,25-AUG-50,+(506) 8059-2503,lorena.orozco@gmail.com
6100,Sebastian,Madrigal,M,10-MAR-68,+(506) 8505-9446,sebastian.madrigal@gmail.com
6375,Daniel,Mejias,M,19-SEP-55,+(506) 7346-8594,daniel.mejias@yahoo.com
7658,Alejandro,Salazar,M,15-NOV-88,+(506) 6762-8675,alejandro.salazar@outlook.com
6360,Cristina,Mejias,F,28-FEB-52,+(506) 7414-3229,cristina.mejias@yahoo.com
5940,Alejandro,Corrales,M,03-DEC-73,+(506) 7638-6187,alejandro.corrales@yahoo.com
5683,Yolanda,Sanchez,F,27-DEC-82,+(506) 8259-0338,yolanda.sanchez@gmail.com
7055,Enrique,Caballero,M,08-APR-38,+(506) 6510-3329,enrique.caballero@outlook.com
6045,Isabel,Barquero,F,14-JUL-61,+(506) 7203-5805,isabel.barquero@yahoo.com
5379,Alberto,Chaves,M,13-APR-80,+(506) 7389-3076,alberto.chaves@yahoo.com
6657,Julia,Rodriguez,F,01-MAY-86,+(506) 7755-2748,julia.rodriguez@yahoo.com
6442,Roberto,Rojas,M,31-MAR-98,+(506) 8823-1597,roberto.rojas@gmail.com
6499,Julieta,Orozco,F,01-MAY-91,+(506) 8853-5529,julieta.orozco@gmail.com
5562,Julieta,Chamorro,F,15-OCT-67,+(506) 7917-6172,julieta.chamorro@yahoo.com
6388,Marta,Mejias,F,16-MAY-38,+(506) 8292-8331,marta.mejias@gmail.com
5525,Oscar,Sharma,M,31-JAN-67,+(506) 6268-2641,oscar.sharma@outlook.com
6203,Isabel,Gonzalez,F,15-JAN-63,+(506) 6475-6563,isabel.gonzalez@outlook.com
7723,Maria,Acuña,F,25-OCT-42,+(506) 8810-6459,maria.acuña@gmail.com
5398,Sebastian,Chaves,M,04-AUG-88,+(506) 8996-6338,sebastian.chaves@gmail.com
7479,Marta,Umaña,F,14-OCT-97,+(506) 7263-6551,marta.umaña@yahoo.com
6692,Guillermo,Rodriguez,M,06-FEB-98,+(506) 6611-4290,guillermo.rodriguez@outlook.com
7193,Sebastian,Li,M,29-OCT-64,+(506) 6226-0128,sebastian.li@outlook.com
5380,Alberto,Chaves,M,09-SEP-50,+(506) 8158-0201,alberto.chaves@gmail.com
6506,Mariana,Orozco,F,01-AUG-51,+(506) 6746-7953,mariana.orozco@outlook.com
7574,Jose,Morales,M,06-MAR-04,+(506) 6056-5521,jose.morales@outlook.com
